2022-05-24:14:26:29,382 DEBUG    [connectionpool.py:1001] Starting new HTTPS connection (1): api.kite.trade:443
2022-05-24:14:30:01,377 DEBUG    [AbhaysApp.py:233] company_data['instrument_token']][4] - False
2022-05-24:14:30:01,377 DEBUG    [AbhaysApp.py:71] One min Candle data :: SBIN  : 460.5 : 461.0 : 460.5 : 460.75
2022-05-24:14:30:01,377 DEBUG    [AbhaysApp.py:230] 5 mins  Candle data :: RELIANCE  : 0 : 2610.7 : 2601.1 : 2602.0
2022-05-24:14:30:01,377 DEBUG    [AbhaysApp.py:233] company_data['instrument_token']][4] - False
2022-05-24:14:30:01,377 DEBUG    [AbhaysApp.py:71] One min Candle data :: RELIANCE  : 2606.3 : 2606.5 : 2601.1 : 2602.0
2022-05-24:14:30:02,168 DEBUG    [AbhaysApp.py:230] 5 mins  Candle data :: TCS  : 0 : 3282.95 : 3280.0 : 3280.0
2022-05-24:14:30:02,168 DEBUG    [AbhaysApp.py:233] company_data['instrument_token']][4] - False
2022-05-24:14:31:00,777 DEBUG    [AbhaysApp.py:71] One min Candle data :: APOLLOHOSP  : 3620.0 : 3625.4 : 3620.0 : 3625.3
2022-05-24:14:31:00,777 DEBUG    [AbhaysApp.py:71] One min Candle data :: WIPRO  : 459.85 : 460.25 : 459.6 : 460.0
2022-05-24:14:31:00,777 DEBUG    [AbhaysApp.py:71] One min Candle data :: AMBUJACEM  : 362.45 : 362.8 : 362.4 : 362.8
2022-05-24:14:31:01,418 DEBUG    [AbhaysApp.py:71] One min Candle data :: HDFCBANK  : 1314.85 : 1316.5 : 1314.3 : 1316.4
2022-05-24:14:31:01,418 DEBUG    [AbhaysApp.py:71] One min Candle data :: ICICIBANK  : 707.3 : 708.0 : 706.8 : 707.8
2022-05-24:14:31:01,418 DEBUG    [AbhaysApp.py:71] One min Candle data :: INFY  : 1441.0 : 1442.5 : 1440.5 : 1441.65
2022-05-24:14:31:01,418 DEBUG    [AbhaysApp.py:71] One min Candle data :: TCS  : 3280.8 : 3282.3 : 3280.0 : 3282.25
2022-05-24:14:31:01,418 DEBUG    [AbhaysApp.py:71] One min Candle data :: RELIANCE  : 2602.0 : 2602.7 : 2599.15 : 2602.65
2022-05-24:14:31:02,28 DEBUG    [AbhaysApp.py:71] One min Candle data :: SBIN  : 460.9 : 461.5 : 460.5 : 461.5
2022-05-24:14:32:00,935 DEBUG    [AbhaysApp.py:71] One min Candle data :: HDFCBANK  : 1316.4 : 1318.0 : 1315.8 : 1317.8
2022-05-24:14:32:00,935 DEBUG    [AbhaysApp.py:71] One min Candle data :: INFY  : 1441.6 : 1441.65 : 1441.0 : 1441.05
2022-05-24:14:32:01,496 DEBUG    [AbhaysApp.py:71] One min Candle data :: APOLLOHOSP  : 3625.3 : 3625.3 : 3617.05 : 3622.2
2022-05-24:14:32:01,496 DEBUG    [AbhaysApp.py:71] One min Candle data :: TCS  : 3282.25 : 3282.25 : 3280.0 : 3281.6
